Pais,Año,Brecha,Desempleo,GP Social,Ganancias,Propiedad,PIB,S. Min. Real,IPC
Colombia,1998,4.90723987815648,12.4968022919481,14.116288,3.5165,0.5068,3075.53624,95.02528732,35.30843493
Colombia,1999,4.88494670693121,12.3902767764502,15.893497,3.3936,1.0269,2649.558642,99.29067754,39.14740419
Colombia,2000,4.8628398385013,12.2837512609524,17.996151,3.4286,0.9787,2530.412948,100,42.75783284
Colombia,2001,4.93033179249223,13.577925,19.589966,4.2793,1.1236,2449.354323,101.8370662,46.16460592
Colombia,2002,4.94439303732013,14.33212,18.776243,4.15,1.6155,2405.942331,103.4535014,49.0965166
Colombia,2003,4.5506273347607,13.572094,18.839969,4.3349,1.5952,2290.187516,103.7460663,52.59768065
Colombia,2004,4.51650556209423,12.057767,19.484384,4.965,1.4441,2793.03049,105.6292023,55.70340441
Colombia,2005,4.51656333838519,11.079643,20.066173,5.1334,1.4316,3451.504502,107.1509066,58.51537697
Colombia,2006,4.56669076805746,10.9815693333333,19.436859,5.5193,1.4145,3781.745466,109.8741614,61.02939265
Colombia,2007,4.9363746755272,10.8834956666667,20.3075,5.6033,1.5074,4773.858562,110.6636928,64.41271202
Colombia,2008,5.17062874736672,10.785422,20.285962,5.1302,1.8743,5560.90762,110.0771479,68.92009539
Colombia,2009,4.93418231018631,11.543162,22.254384,5.6057,1.6389,5300.970191,113.7019548,71.81629589
Colombia,2010,4.86381347286935,11.23464,20.634397,4.8191,1.5688,6405.213913,115.2276497,73.44774744
Colombia,2011,4.74416461031791,10.346837,20.289608,5.4042,2.0874,7394.414925,115.8820965,75.95601144
Colombia,2012,4.74662166750994,9.9916493,20.573169,6.5518,2.0508,8101.159622,118.8403504,78.36328728
Colombia,2013,4.67791961399679,9.3028166,21.404283,6.6858,2.0877,8260.875325,121.1780018,79.94386937
Colombia,2014,4.66586635428287,8.8198991,21.150993,6.5648,2.0952,8176.725292,123.0648433,82.26131273
Colombia,2015,4.4358426487001,8.5884926,20.9384,6.5437,2.2563,6257.453629,122.633789,86.36601161
Colombia,2016,4.30150449452917,8.907296,20.178711,6.2894,2.0943,5952.689909,122.0336828,92.85508787
Colombia,2017,4.18564580837517,9.0878964,20.963946,6.2593,1.9501,6448.244009,125.1636778,96.86819284
Colombia,2018,4.24430090912991,9.3578654,19.570905,6.4836,1.5454,6783.006955,128.3864498,100
Colombia,2019,4.47289385509234,10.198202,19.343714,6.3694,1.7909,6435.722022,131.4668693,103.5234832
Colombia,2020,4.78489270215435,15.269661,22.7651048500001,6.1952,1.8208,5321.83595,135.91,106.1379208
